-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
3390,3316,3242,3168,3094,3020,2955,2890,2825,2760,2695,2674,2653,2632,2611,2590,2569,2548,2527,2506,2485,2464,2443,2422,2401,2380,2359,2338,2317,2296,2275,2251,2227,2203,2179,2155,2134,2113,2092,2071,2050
3000,2932,2864,2796,2728,2660,2596,2532,2468,2404,2340,2322,2304,2286,2268,2250,2230,2210,2190,2170,2150,2130,2110,2090,2070,2050,2035,2020,2005,1990,1975,1951,1927,1903,1879,1855,1836,1817,1798,1779,1760
2610,2546,2482,2418,2354,2290,2236,2182,2128,2074,2020,2001,1982,1963,1944,1925,1905,1885,1865,1845,1825,1805,1785,1765,1745,1725,1708,1691,1674,1657,1640,1618.8,1597.6,1576.4,1555.2,1534,1515.2,1496.4,1477.6,1458.8,1440
2210,2154,2098,2042,1986,1930,1874,1818,1762,1706,1650,1635,1620,1605,1590,1575,1558,1541,1524,1507,1490,1474,1458,1442,1426,1410,1395,1380,1365,1350,1335,1319,1303,1287,1271,1255,1242,1229,1216,1203,1190
1850,1796,1742,1688,1634,1580,1524,1468,1412,1356,1300,1285,1270,1255,1240,1225,1212,1199,1186,1173,1160,1146,1132,1118,1104,1090,1075,1060,1045,1030,1015,1000,985,970,955,940,927,914,901,888,875
1525,1467,1409,1351,1293,1235,1183,1131,1079,1027,975,959,943,927,911,895,880,865,850,835,820,808,796,784,772,760,747,734,721,708,695,681,667,653,639,625,612,599,586,573,560
