-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1920,1878,1836,1794,1752,1710,1668,1626,1584,1542,1500,1492,1484,1476,1468,1460,1452,1444,1436,1428,1420,1413,1406,1399,1392,1385,1378,1371,1364,1357,1350,1340,1330,1320,1310,1300,1292,1284,1276,1268,1260
1330,1301.4,1272.8,1244.2,1215.6,1187,1158.2,1129.4,1100.6,1071.8,1043,1034.4,1025.8,1017.2,1008.6,1000,993,986,979,972,965,955,945,935,925,915,908,901,894,887,880,872,864,856,848,840,832,824,816,808,800
800,770,740,710,680,650,620,590,560,530,500,498,496,494,492,490,486,482,478,474,470,463,456,449,442,435,430,425,420,415,410,407,404,401,398,395,391,387,383,379,375
